,id,format,victory_status,book_moves,opening_name,winner,turns,white_id,white_rating,black_id,black_rating
9599,QoezbVcW,Rapid,mate,2,Nimzowitsch Defense,white,25,montecristo,1505,chases,1229
9600,tBWeqmw2,Classical,resign,2,Zukertort Opening: Slav Invitation,white,15,chases,1161,baytalmaqdis,1244
9602,rxLOMyUo,Classical,mate,3,King's Gambit,white,21,smederevac,2022,chases,1162
9603,lhxpRhu6,Rapid,resign,1,King's Pawn,white,17,sr1340,1465,chases,1189
9604,kPXm1yCq,Bullet,mate,2,Nimzo-Larsen Attack: English Variation,white,45,ze_cat,1292,inserthere,1422
9605,59ff4N6H,Rapid,mate,8,Sicilian Defense: Godiva Variation,white,71,yht,2054,avojan,1977
9606,2qGLE7ir,Rapid,resign,7,Slav Defense: Quiet Variation,white,81,afshin135,1696,yht,2054
9607,Uoe9up0s,Rapid,resign,6,Center Game: Normal Variation,black,68,yht,2054,hossein5151,1626
9608,RuHlwQEe,Classical,outoftime,2,Scandinavian Defense,black,2,yht,2073,masterbigsuff,2257
9609,qyyJeVj8,Classical,outoftime,3,Bird Opening: Williams Gambit,black,4,yht,2104,masterbigsuff,2081
9610,XdtidcM9,Classical,outoftime,2,Scandinavian Defense,black,2,yht,2159,masterbigsuff,1500
9611,gENhjY12,Classical,outoftime,2,Scandinavian Defense,black,2,sklibur,1816,yht,2230
9612,sxWWj2rK,Classical,resign,3,Zukertort Opening: Tennison Gambit,white,37,morteza0088996655,2098,yht,2279
9613,geYkmEU0,Classical,draw,3,French Defense: Knight Variation,draw,39,morteza0088996655,2002,yht,2302
9614,BfVNuoo1,Classical,mate,5,Three Knights Opening,white,23,yht,2276,morteza0088996655,2111
9615,39RyjZ7h,Classical,resign,1,Mieses Opening,white,33,morteza0088996655,1500,yht,2352
9616,lG2DQSFG,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1425,yht,2346
9617,KPyvpZmW,Classical,outoftime,2,Queen's Pawn Game,black,2,poster,1836,yht,2340
9618,Zb03JOBE,Classical,outoftime,2,Queen's Pawn Game,black,2,raminder57,1921,yht,2322
9619,wVYBmOsX,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1491,yht,2318
9620,hGHnjl8h,Blitz,mate,7,Slav Defense: Bonet Gambit,black,90,hurameshi,1305,yht,2318
9621,XSUAQ0ND,Classical,outoftime,2,Scandinavian Defense,black,2,diba-rad,1654,yht,2314
9622,oVAh4Lhy,Classical,outoftime,2,Nimzo-Larsen Attack: Classical Variation,black,2,x2o97,1500,yht,2314
9623,fshctHjX,Classical,outoftime,2,Scandinavian Defense,black,2,twrn,1513,yht,2312
